City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
197,Qiryat Gat,IL,31.61,34.7642,80.01,49,0,1.99,clear sky,2021-05-07 15:18:49
198,Longyearbyen,SJ,78.2186,15.6401,23.0,63,20,3.44,few clouds,2021-05-07 15:15:24
199,Kirkland Lake,CA,48.1446,-80.0377,41.0,70,99,3.47,overcast clouds,2021-05-07 15:15:05
200,Ponta Do Sol,PT,32.6667,-17.1,68.0,55,43,5.01,scattered clouds,2021-05-07 15:18:50
201,Alexandria,EG,31.2156,29.9553,84.2,39,0,8.05,clear sky,2021-05-07 15:18:43
202,Fort Nelson,CA,58.8053,-122.7002,44.6,81,90,2.3,light rain,2021-05-07 15:15:05
203,San Pedro,PH,14.35,121.0167,84.2,70,20,5.75,few clouds,2021-05-07 15:18:50
204,Hualmay,PE,-11.0964,-77.6139,69.8,72,17,8.43,few clouds,2021-05-07 15:18:50
205,Richards Bay,ZA,-28.783,32.0377,70.88,73,27,13.2,light rain,2021-05-07 15:04:10
206,Broome,US,42.2506,-75.833,55.99,49,99,3.0,overcast clouds,2021-05-07 15:18:51
207,Auki,SB,-8.7676,160.7034,78.98,88,100,3.74,light rain,2021-05-07 15:18:51
208,Yar-Sale,RU,66.8333,70.8333,33.21,97,100,18.12,overcast clouds,2021-05-07 15:18:51
209,Toora-Khem,RU,52.4675,96.11,51.57,93,100,1.88,light rain,2021-05-07 15:18:51
210,Anadyr,RU,64.75,177.4833,14.0,92,20,4.47,fog,2021-05-07 15:18:52
211,Plettenberg Bay,ZA,-34.0527,23.3716,62.62,79,26,9.66,scattered clouds,2021-05-07 15:18:52
212,Batagay,RU,67.6333,134.6333,30.63,97,100,2.01,overcast clouds,2021-05-07 15:18:52
213,Talara,PE,-4.5772,-81.2719,71.6,73,75,18.41,broken clouds,2021-05-07 15:18:53
214,Govindgarh,IN,27.5,76.9833,82.71,43,67,8.21,broken clouds,2021-05-07 15:18:53
215,Sangueya,GN,10.7,-14.3667,97.5,29,71,11.21,broken clouds,2021-05-07 15:18:53
216,Vanimo,PG,-2.6741,141.3028,79.39,89,97,6.87,overcast clouds,2021-05-07 15:18:54
217,Korla,CN,41.7597,86.1469,78.13,9,100,6.93,overcast clouds,2021-05-07 15:18:54
218,Grand Baie,MU,-20.0182,57.5802,73.99,78,24,1.99,few clouds,2021-05-07 15:15:55
219,Yugo-Kamskiy,RU,57.7053,55.5894,69.8,28,20,13.42,few clouds,2021-05-07 15:18:54
220,Olafsvik,IS,64.8945,-23.7142,37.6,55,47,13.67,scattered clouds,2021-05-07 15:18:55
221,Port Blair,IN,11.6667,92.75,82.9,75,100,8.46,overcast clouds,2021-05-07 15:18:55
222,La Paz,BO,-16.5,-68.15,46.4,76,40,8.05,scattered clouds,2021-05-07 15:14:47
223,Viesite,LV,56.3475,25.5551,50.18,50,100,6.31,overcast clouds,2021-05-07 15:14:39
224,Marquette,US,46.5333,-87.6335,37.99,94,94,12.03,overcast clouds,2021-05-07 15:18:56
225,Santa Rosa,PH,14.3122,121.1114,84.2,70,20,5.75,few clouds,2021-05-07 15:18:56
226,Mahibadhoo,MV,3.7833,72.9667,85.57,69,74,6.31,broken clouds,2021-05-07 15:18:56
227,Kaeo,NZ,-35.1,173.7833,64.0,81,100,8.99,overcast clouds,2021-05-07 15:18:56
228,Gondanglegi,ID,-7.7479,112.0132,74.88,90,95,6.31,overcast clouds,2021-05-07 15:18:57
229,Souillac,MU,-20.5167,57.5167,73.4,83,40,3.44,scattered clouds,2021-05-07 15:18:57
230,Nouadhibou,MR,20.931,-17.0347,71.6,68,0,20.71,sand,2021-05-07 15:18:57
231,Acapulco,MX,16.8634,-99.8901,82.4,69,90,4.61,overcast clouds,2021-05-07 15:18:57
232,Goderich,CA,43.7501,-81.7165,46.4,61,27,4.61,scattered clouds,2021-05-07 15:18:58
233,Fairbanks,US,64.8378,-147.7164,44.6,75,90,4.61,overcast clouds,2021-05-07 15:15:55
234,Fukue,JP,32.6881,128.8419,64.02,83,52,11.9,broken clouds,2021-05-07 15:18:58
235,Fuerte,PH,17.5381,120.3644,83.16,74,14,0.65,few clouds,2021-05-07 15:18:58
236,Grumo Appula,IT,41.0135,16.7085,78.01,35,0,12.66,clear sky,2021-05-07 15:18:59
237,Cabo San Lucas,MX,22.8909,-109.9124,77.0,27,1,3.44,clear sky,2021-05-07 15:16:25
238,Hirtshals,DK,57.5881,9.9592,50.0,76,0,3.44,clear sky,2021-05-07 15:16:10
239,San Ignacio,BZ,17.1561,-89.0714,78.8,83,75,0.81,broken clouds,2021-05-07 15:18:59
240,Jinchang,CN,38.4953,102.1739,66.72,8,6,7.09,clear sky,2021-05-07 15:18:59
241,Barcelos,PT,41.5388,-8.6151,72.0,63,0,6.91,clear sky,2021-05-07 15:19:00
242,Ilulissat,GL,69.2167,-51.1,33.8,69,75,5.75,broken clouds,2021-05-07 15:19:00
243,Cockburn Town,TC,21.4612,-71.1419,80.15,68,72,14.03,broken clouds,2021-05-07 15:18:35
244,Moerai,PF,-22.4333,-151.3333,74.25,65,100,9.93,overcast clouds,2021-05-07 15:19:00
245,Egvekinot,RU,66.3167,-179.1667,9.59,84,12,9.04,few clouds,2021-05-07 15:19:00
246,Elizabeth City,US,36.2946,-76.2511,66.99,48,1,9.22,clear sky,2021-05-07 15:15:38
247,Makushino,RU,55.2103,67.2442,59.38,35,1,4.14,clear sky,2021-05-07 15:19:01
248,Zherdevka,RU,51.8486,41.4606,54.55,61,15,5.66,few clouds,2021-05-07 15:19:01
249,Asifabad,IN,19.3667,79.2833,90.9,40,72,3.85,broken clouds,2021-05-07 15:19:01
250,Sitka,US,57.0531,-135.33,46.4,87,75,2.98,light rain,2021-05-07 15:19:02
251,Waingapu,ID,-9.6567,120.2641,76.26,78,100,7.27,overcast clouds,2021-05-07 15:19:02
252,Atar,MR,20.5169,-13.0499,98.69,8,0,9.6,clear sky,2021-05-07 15:19:02
253,Constitucion,CL,-35.3333,-72.4167,59.32,85,100,11.99,overcast clouds,2021-05-07 15:19:03
254,San Cristobal,VE,7.7669,-72.225,78.8,89,40,2.3,fog,2021-05-07 15:19:03
255,Nanortalik,GL,60.1432,-45.2371,36.57,76,100,6.13,overcast clouds,2021-05-07 15:19:03
256,Merrill,US,45.1805,-89.6835,42.8,65,90,10.36,overcast clouds,2021-05-07 15:19:04
257,Iskateley,RU,67.6803,53.1512,32.7,74,100,12.12,overcast clouds,2021-05-07 15:19:04
258,Meulaboh,ID,4.1363,96.1285,79.12,85,100,2.04,heavy intensity rain,2021-05-07 15:19:04
259,Sobolevo,RU,54.4299,31.8996,51.76,69,100,14.16,light rain,2021-05-07 15:19:05
260,Omboue,GA,-1.5746,9.2618,80.37,79,100,7.47,overcast clouds,2021-05-07 15:19:05
