City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
562,Wanning,CN,77.09,broken clouds,18.8003,110.3967,Paradise Hotel
573,Hwange,ZW,79.75,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
576,Champasak,LA,78.66,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
577,Axim,GH,85.37,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
580,Mogoditshane,BW,77.0,few clouds,-24.6269,25.8656,Sunbeam Hotel
581,Saint-Georges,GD,79.63,overcast clouds,12.0564,-61.7485,Siesta Hotel
582,Monsenhor Gil,BR,86.0,light rain,-5.5642,-42.6078,VB Hotel
583,Bereda,ES,75.99,overcast clouds,43.2686,-7.5406,Pazo de Verdes
585,Kieta,PG,79.47,light rain,-6.2167,155.6333,Uruna Bay Retreat
587,Butterworth,MY,84.99,moderate rain,5.3991,100.3638,Cititel Penang
588,Antsohihy,MG,78.37,few clouds,-14.8796,47.9875,Hotel de Ville
589,Boa Vista,BR,77.0,light rain,2.8197,-60.6733,Aipana Plaza Hotel
602,Porbandar,IN,84.78,clear sky,21.6422,69.6093,Lords Inn Porbandar
605,Padang,ID,79.43,overcast clouds,-0.9492,100.3543,Mercure Padang
610,Kismayo,SO,79.86,light rain,-0.3582,42.5454,Agan-Hotel
612,Luau,AO,81.05,few clouds,-10.7073,22.2247,Casa- Bernardo Cândido
613,Sinnamary,GF,77.29,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
616,Labuhan,ID,79.63,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
623,Pitimbu,BR,84.2,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
632,Mumford,GH,83.77,overcast clouds,5.2618,-0.759,Spanish Villa
635,Alofi,NU,75.2,light rain,-19.0595,-169.9187,Taloa Heights
640,Belmonte,BR,82.4,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
643,Muncar,ID,75.04,broken clouds,-8.4333,114.3333,Zaky Homestay
645,Tarakan,ID,78.8,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
649,Anloga,GH,89.6,few clouds,5.7947,0.8973,Pin Drop Hotel
650,Isangel,VU,78.8,few clouds,-19.55,169.2667,Tanna Lodge
653,Manbij,SY,80.6,clear sky,36.5281,37.9549,Manbej City Hotel
658,Rio Hato,PA,88.0,broken clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
