City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Kavieng,PG,2021-03-21 22:05:06,-2.5744,150.7967,83.98,73,96,6.04
140,Airai,TL,2021-03-21 22:05:06,-8.9266,125.4092,60.89,86,92,1.45
141,Severo-Kurilsk,RU,2021-03-21 22:05:06,50.6789,156.125,28.45,87,100,29.06
142,Sao Miguel Do Araguaia,BR,2021-03-21 22:03:50,-13.275,-50.1628,74.55,87,20,5.01
143,Cherskiy,RU,2021-03-21 22:05:07,68.75,161.3,-9.36,72,0,5.03
144,Panjakent,TJ,2021-03-21 22:04:09,39.4952,67.6093,48.2,81,93,2.3
145,Sao Joao Da Barra,BR,2021-03-21 22:03:00,-21.6403,-41.0511,80.6,78,0,11.5
146,Urbana,US,2021-03-21 22:05:07,40.1106,-88.2073,64.4,25,1,16.11
147,Clonakilty,IE,2021-03-21 22:05:07,51.6231,-8.8706,46.4,87,75,4.61
148,Mahibadhoo,MV,2021-03-21 22:05:08,3.7833,72.9667,82.33,70,95,5.1
149,Luderitz,NA,2021-03-21 22:05:08,-26.6481,15.1594,68.29,61,0,13.42
150,Warrnambool,AU,2021-03-21 22:05:08,-38.3833,142.4833,68.0,80,50,5.99
151,Maceio,BR,2021-03-21 22:03:46,-9.6658,-35.7353,78.8,83,40,6.91
152,Kloulklubed,PW,2021-03-21 22:05:09,7.0419,134.2556,77.0,94,90,3.44
153,Presidente Medici,BR,2021-03-21 22:05:09,-11.1753,-61.9014,76.89,91,100,0.96
154,Bengkulu,ID,2021-03-21 22:05:09,-3.8004,102.2655,75.09,90,100,3.13
155,Matara,LK,2021-03-21 22:05:09,5.9485,80.5353,75.74,88,78,3.71
156,Prince Rupert,CA,2021-03-21 22:03:24,54.3161,-130.3201,42.8,70,90,12.66
157,Bedford,GB,2021-03-21 22:02:58,52.1346,-0.4663,39.99,86,100,3.56
158,Samarai,PG,2021-03-21 22:05:10,-10.6167,150.6667,83.77,77,98,6.78
159,Russas,BR,2021-03-21 22:05:10,-4.9403,-37.9758,78.13,72,41,6.76
160,Inhambane,MZ,2021-03-21 22:05:11,-23.865,35.3833,75.61,87,0,6.29
161,Ancud,CL,2021-03-21 22:05:11,-41.8697,-73.8203,64.99,59,0,6.91
162,Aklavik,CA,2021-03-21 22:05:11,68.2191,-135.0107,-2.2,55,63,8.05
163,Nuristan,AF,2021-03-21 22:05:12,35.3,70.8333,19.53,81,95,5.08
164,Qaanaaq,GL,2021-03-21 22:05:12,77.484,-69.3632,-7.49,95,99,5.17
165,Galveston,US,2021-03-21 22:05:12,29.3669,-94.9669,66.99,59,1,13.8
166,Nabire,ID,2021-03-21 22:05:12,-3.3667,135.4833,77.54,82,88,3.22
167,Martapura,ID,2021-03-21 22:05:13,-3.4167,114.85,75.2,100,75,0.6
168,Alpena,US,2021-03-21 22:05:13,45.0617,-83.4327,64.4,15,1,20.71
169,Leningradskiy,RU,2021-03-21 22:05:13,69.3833,178.4167,-9.67,94,100,10.4
170,Torbay,CA,2021-03-21 22:03:18,47.6666,-52.7314,34.0,69,75,17.27
171,San Francisco,US,2021-03-21 22:02:22,37.7749,-122.4194,66.0,55,20,20.71
172,Naze,JP,2021-03-21 22:05:14,28.3667,129.4833,59.0,58,75,13.8
173,Mayo,US,2021-03-21 22:05:14,38.8876,-76.5119,59.0,38,1,3.44
174,Eluru,IN,2021-03-21 22:05:14,16.7,81.1,74.07,79,28,2.68
